source	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	translation
ако	ako	ako	ако	C		38	1	2	mark		Although it was, great poverty rulled, I think, we weren't hungry.
беше	beše	e	е	Vmii3si		38	2	4	conj		
,	,	,	,	Z		38	3	2	punct		
владееше	vladeeše	vladee	владее	Vmii3si		38	4	8	advcl		
голема	golema	golem	голем	Afsn		38	5	6	amod		
сиромаштија	siromaštiјa	siromaštiјa	сиромаштија	Nfsnn		38	6	4	nsubj		
,	,	,	,	Z		38	7	4	punct		
мислам	mislam	misli	мисли	Vmip1si		38	8	0	root		
не	ne	ne	не	Qz		38	9	10	advmod		
бевме	bevme	e	е	Vmii1pi		38	10	11	cop		
гладни	gladni	gladen	гладен	A-pn		38	11	8	ccomp		
.	.	.	.	Z		38	12	11	punct		
											
сепак	sepak	sepak	сепак	C		39	1	2	mark		Still, we had means for living.
имавме	imavme	ima	има	Vmii1pi		39	2	0	root		
средства	sredstva	sredstvo	средство	Nnpnn		39	3	2	obj		
за	za	za	за	S		39	4	5	case		
живот	život	život	живот	Nmsnn		39	5	4	nmod		
.	.	.	.	Z		39	6	2	punct		
											
народ+	narod+	narod	народ	Nmsny		40	1	6	nsubj		The people were much more satisfied from everything.
от	ot	toј	тој	Pd-msn		40	2	1	det	p_nom	
беше	beše	e	е	Vmii3si		40	3	6	cop		
многу	mnogu	mnogu	многу	R		40	4	6	advmod		
по+	po+	po	по	Qc		40	5	6	amod		
задоволен	zadovolen	zadovolen	задоволен	Amsn		40	6	0	root		
од	od	od	од	S		40	7	8	case		
се	se	sѐ	сѐ	Pi		40	8	6	nmod		
,	,	,	,	Z		40	9	6	punct		
											
исто	isto	ist	ист	Ansn		41	1	2	amod		Same like that, we, the children, were much satisfied, we didn't think about this or that, but about one simple life.
така	taka	taka	така	R		41	2	7	advmod		
и	i	i	и	C		41	3	4	cc		
ние	nie	nie	ние	Pp1-pn		41	4	7	nsubj		
деца+	deca+	dete	дете	Nnpny		41	5	4	appos		
та	ta	toј	тој	Pd--pn		41	6	5	det	p_nom	
бевме	bevme	e	е	Vmii1pi		41	7	10	cop		
многу	mnogu	mnogu	многу	R		41	8	10	advmod		
вака	vaka	vaka	вака	R		41	9	10	advmod		
задоволни	zadovolni	zadovolen	задоволен	A-pn		41	10	0	root		
,	,	,	,	Z		41	11	10	punct		
не	ne	ne	не	Qz		41	12	13	advmod		
мислевме	mislevme	misli	мисли	Vmii1pi		41	13	10	xcomp		
на	na	na	на	S		41	14	15	case		
ова	ova	ova	ова	Pd-nsn		41	15	13	obl		
или	ili	ili	или	C		41	16	18	cc		
на	na	na	на	S		41	17	18	case		
она	ona	ona	она	Pd-nsn		41	18	15	conj		
.	.	.	.	Z		41	19	13	punct		
туку	tuku	tuku	туку	C		41	20	24	mark		
на	na	na	на	S		41	21	24	case		
еден	eden	eden	еден	Pi-msn		41	22	24	det	indf	
едноставен	ednostaven	ednostaven	едноставен	Amsn		41	23	24	amod		
живот	život	život	живот	Nmsnn		41	24	18	conj		
.	.	.	.	Z		41	25	13	punct		
											
во	vo	vo	во	S		42	1	2	case		At school we studied the same, we had large classes, there were thirty children in one class, in one group.
школо	školo	školo	школо	Nnsnn		42	2	3	obl		
учевме	učevme	uči	учи	Vmii1pi		42	3	0	root		
исто	isto	isto	исто	R		42	4	3	advmod		
имавме	imavme	ima	има	Vmii1pi		42	5	3	conj		
големи	golemi	golem	голем	A-pn		42	6	7	amod		
класови	klasovi	klas	клас	Nmpnn		42	7	5	obj		
беа	bea	e	е	Vmii3pi		42	8	5	xcomp		
по	po	po	по	S		42	9	10	case		
триесет	trieset	trieset	триесет	M		42	10	11	nummod		
деца	deca	dete	дете	Nnpny		42	11	7	obl		
во	vo	vo	во	S		42	12	14	case		
еден	eden	eden	еден	Pi-msn		42	13	14	det		
клас	klas	klas	клас	Nmsnn		42	14	11	nmod		
,	,	,	,	Z		42	15	7	punct		
во	vo	vo	во	S		42	16	18	case		
едно	edno	eden	еден	Pi-nsn		42	17	18	det		
одделение	oddelenie	oddelenie	одделение	Nnsnn		42	18	14	appos		
.	.	.	.	Z		42	19	18	punct		
											
учевме	učevme	uči	учи	Vmii1pi		43	1	0	root		We studied well, I am satisfied with the behavior of the teacher, of the teachers afterwards.
убаво	ubavo	ubavo	убаво	R		43	2	1	advmod		
,	,	,	,	Z		43	3	1	punct		
задоволна	zadovolna	zadovolen	задоволен	Afsn		43	4	1	xcomp		
сум	sum	e	е	Vmip1si		43	5	4	cop		
од	od	od	од	S		43	6	7	case		
однесување+	odnesuvanje+	odnesuvanje	однесување	Nnsnn		43	7	4	obl		
то	to	toј	тој	Pd-nsn		43	8	7	det	p_nom	
на	na	na	на	S		43	9	10	case		
учителка+	učitelka+	učitelka	учителка	Nfsny		43	10	7	nmod	poss	
та	ta	toј	тој	Pd-fsn		43	11	10	det	p_nom	
,	,	,	,	Z		43	12	4	punct		
на	na	na	на	S		43	13	14	case		
учители+	učiteli+	učitel	учител	Nmpny		43	14	7	conj		
те	te	toј	тој	Pd--pn		43	15	14	det	p_nom	
понатака	ponataka	ponataka	понатака	R		43	16	14	orph		
											
значи	znači	znači	значи	Qo		44	1	2	discourse		So, they treated us well, and raised us that way.
постапвеа	postapvea	postapuva	постапува	Vmii3pi		44	2	0	root		
со	so	so	со	S		44	3	4	case		
нас	nas	nie	ние	Pp1-pa		44	4	2	obl		
добро	dobro	dobro	добро	R		44	5	2	advmod		
и	i	i	и	C		44	6	9	cc		
така	taka	taka	така	R		44	7	9	advmod		
нè	nè	nie	ние	Pp1-pa		44	8	9	obj		
воспитвеја	vospitveјa	vospituva	воспитува	Vmii3pi		44	9	2	conj		
.	.	.	.	Z		44	10	9	punct		
											
дество+	destvo+	detstvo	детство	Nnsnn		45	1	4	nsubj		The childhood made a really good impression on me, that I had good childhood in a free country without wars, without that stuff.
то	to	toј	тој	Pd-nsn		45	2	1	det	p_nom	
ми	mi	јas	јас	Pp1-sd		45	3	4	obl	iobj	
оставило	ostavilo	ostavi	остави	Vmp--se	Ansn	45	4	0	root		
така	taka	taka	така	R		45	5	6	advmod		
добар	dobar	dobar	добар	Amsn		45	6	7	amod		
впечаток	vpečatok	vpečatok	впечаток	Nmsnn		45	7	4	obj		
дека	deka	deka	дека	C		45	8	9	mark		
поминав	pominav	pomine	помине	Vmia1se		45	9	4	advcl		
убо	ubo	ubav	убав	Ansn		45	10	11	amod		
детство	detstvo	detstvo	детство	Nnsnn		45	11	9	obj		
во	vo	vo	во	S		45	12	14	case		
слободна	slobodna	sloboden	слободен	Afsn		45	13	14	amod		
земја	zemјa	zemјa	земја	Nfsnn		45	14	9	obl		
без	bez	bez	без	S		45	15	16	case		
војни	voјni	voјna	војна	Nfsnn		45	16	14	nmod		
без	bez	bez	без	S		45	17	19	case		
тие	tie	tie	тие	Pd--pn		45	18	19	det		
работи	raboti	raboti	работи	Nfpnn		45	19	16	conj		
,	,	,	,	Z		45	20	9	punct		
											
се	se	se	се	Px---a		46	1	2	expl		We hang out, we went with my mother same, she brought us at our grandmother, her mother, and she taught us, told us tales, the grandmother knew a lot stories to tell us.
дружевме	druževme	druži	дружи	Vmii1pi		46	2	0	root		
одевме	odevme	odi	оди	Vmii1pi		46	3	2	conj		
со	so	so	со	S		46	4	5	case		
мајка	maјka	maјka	мајка	Nfsny		46	5	3	obl		
ми	mi	јas	јас	Pp1-sd		46	6	3	expl		
исто	isto	isto	исто	R		46	7	3	advmod		
нè	nè	nie	ние	Pp1-pa		46	8	9	obj		
носеше	noseše	nose	носе	Vmii3si		46	9	3	xcomp		
кај	kaј	kaј	кај	S		46	10	12	case		
наша+	naša+	naš+	наш+	Afsn		46	11	12	amod		
та	ta	toј	тој	Pd-fsn		46	12	11	det	p_nom	
баба	baba	baba	баба	Nfsny		46	13	9	obl		
,	,	,	,	Z		46	14	9	punct		
нејзина+	neјzina+	neјzin+	нејзин+	Afsn		46	15	17	amod		
та	ta	toј	тој	Pd-fsn		46	16	17	det	p_nom	
мајка	maјka	maјka	мајка	Nfsny		46	17	13	appos		
,	,	,	,	Z		46	18	17	punct		
па	pa	pa	па	C		46	19	22	cc		
таа	taa	taa	таа	Pp3fsn		46	20	22	nsubj		
нè	nè	nie	ние	Pp1-pa		46	21	22	obj		
учеше	učeše	uči	учи	Vmii3si		46	22	9	conj		
ни	ni	nie	ние	Pp1-pd		46	23	24	obl	iobj	
кажвеше	kažveše	kažuva	кажува	Vmii3si		46	24	22	conj		
прикаски	prikaski	prikaska	прикаска	Nfpnn		46	25	24	obj		
многу	mnogu	mnogu	многу	R		46	26	27	advmod		
знаеше	znaeše	znae	знае	Vmii3si		46	27	24	conj		
прикаски	prikaski	prikaska	прикаска	Nfpnn		46	28	27	obj		
да	da	da	да	C		46	29	31	fixed	inf	
ни	ni	nie	ние	Pp1-pd		46	30	31	obl	iobj	
кажвит	kažvit	kažuva	кажува	Vmip3si		46	31	27	xcomp		
баба+	baba+	baba+	баба+	Nfsny		46	32	27	nsubj		
та	ta	toј	тој	Pd-fsn		46	33	32	det	p_nom	
.	.	.	.	Z		46	34	27	punct		
											
на	na	na	на	S		47	1	2	case		Of tales, yes, I remember, how not to.
прикаски	prikaski	prikaska	прикаска	Nfpnn		47	2	6	obl		
да	da	da	да	Q		47	3	6	discourse		
,	,	,	,	Z		47	4	3	punct		
се	se	se	се	Px---a		47	5	6	expl		
сеќавам	seќavam	seќava	сеќава	Vmip1si		47	6	0	root		
како	kako	kako	како	R		47	7	6	advmod		
не	ne	ne	не	Qz		47	8	6	advmod		
.	.	.	.	Z		47	9	6	punct		
											
ни	ni	nie	ние	Pp1-pd		48	1	3	obl	iobj	
ја	јa	taa	таа	Pp1-pa		48	2	3	expl		
кажвеше	kažveše	kažuva	кажува	Vmii3si		48	3	0	root		
стално	stalno	stalno	стално	R		48	4	3	advmod		
прикаска+	prikaska+	prikaska+	прикаска+	Nfsnn		48	5	3	obj		
та	ta	toј	тој	Pd-fsn		48	6	5	det	p_nom	
за	za	za	за	S		48	7	8	case		
штркле	štrkle	štrkle	штркле	Nmsny		48	8	3	obl		
											
јас	јas	јas	јас	Pp1-sn		49	1	5	nsubj		I told the story of the stork and last year.
и	i	i	и	C		49	2	3	cc		
лани	lani	lani	лани	R		49	3	5	advmod		
ја	јa	taa	таа	Pp1-pa		49	4	5	expl		
кажуев	kažuev	kažuva	кажува	Vmii1si		49	5	0	root		
прикаска+	prikaska+	prikaska+	прикаска+	Nfsnn		49	6	5	obj		
та	ta	toј	тој	Pd-fsn		49	7	6	det	p_nom	
за	za	za	за	S		49	8	9	case		
штркле	štrkle	štrkle	штркле	Nmsny		49	9	5	obl		
.	.	.	.	Z		49	10	5	punct		
											
тој	toј	toј	тој	Pp3msn		50	1	2	nsubj		He was a servant, looked after sheep for a boss, but he was very disobedient.
бил	bil	e	е	Vmp--si	Amsn	50	2	4	cop		
некој	nekoј	nekoј	некој	Pi-msn		50	3	4	det		
момок	momok	momok	момок	Nmsny		50	4	0	root		
,	,	,	,	Z		50	5	4	punct		
чувал	čuval	čuva	чува	Vmp--si	Amsn	50	6	4	conj		
овци	ovci	ovca	овца	Nfpnn		50	7	6	obj		
кај	kaј	kaј	кај	S		50	8	10	case		
некој	nekoј	nekoј	некој	Pi-msn		50	9	10	det	indf	
газда	gazda	gazda	газда	Nmsny		50	10	6	obl		
ама	ama	ama	ама	C		50	11	12	cc		
бил	bil	e	е	Vmp--si	Amsn	50	12	15	cop		
многу	mnogu	mnogu	многу	R		50	13	15	advmod		
не+	ne+	ne	не	Qz		50	14	15	amod		
послушен	poslušen	poslušen	послушен	Amsn		50	15	6	conj		
.	.	.	.	Z		50	16	15	punct		
											
на	na	na	на	S		51	1	2	case		For example, they would let him go with the sheep, he slaughtered the sheep.
пример	primer	primer	пример	Nmsnn		51	2	5	discourse		
ќе	ќe	ќe	ќе	Vaip		51	3	5	aux	hab	
го	go	toј	тој	Pp3msa		51	4	5	obj		
пуштеле	puštele	pušti	пушти	Vmp--pe	A-pn	51	5	0	root		
да	da	da	да	C		51	6	7	fixed	inf	
оди	odi	odi	оди	Vmip3si		51	7	5	xcomp		
со	so	so	со	S		51	8	9	case		
овци+	ovci+	ovca+	овца+	Nfpnn		51	9	7	obl		
те	te	toј	тој	Pd--pn		51	10	9	det	p_nom	
му	mu	toј	тој	Pp3-sd		51	11	13	obl	iobj	
и	i	toј	тој	Pp3-pa		51	12	13	expl		
заклал	zaklal	zakole	заколе	Vmp--pe	Amsn	51	13	7	xcomp		
овци+	ovci+	ovca+	овца+	Nfpnn		51	14	13	obj		
те	te	toј	тој	Pd--pn		51	15	14	det	p_nom	
,	,	,	,	Z		51	16	13	punct		
											
ќе	ќe	ќe	ќе	Vaip		52	1	3	aux	hab	They would let him go with the cattles, he slaughtered the cattles.
го	go	toј	тој	Pp3msa		52	2	3	obj		
пуштеле	puštele	pušti	пушти	Vmp--pe	A-pn	52	3	0	root		
со	so	so	со	S		52	4	5	case		
гојда+	goјda+	govedo	говедо	Nmpnn		52	5	3	obl		
та	ta	toј	тој	Pd--pn		52	6	5	det	p_nom	
да	da	da	да	C		52	7	8	fixed	inf	
одит	odit	odi	оди	Vmip3si		52	8	3	xcomp		
му	mu	toј	тој	Pp3-sd		52	9	11	obl	iobj	
и	i	i	и	Pp3-pa		52	10	11	expl		
заклал	zaklal	zakole	заколе	Vmp--pe	Amsn	52	11	8	xcomp		
гојда+	goјda+	govedo+	говедо+	Nfpnn		52	12	11	obj		
та	ta	toј	тој	Pd--pn		52	13	12	det	p_nom	
,	,	,	,	Z		52	14	11	punct		
											
